fwf_region_name,rel,sample_std,rel_Rem(AR1),sample_std_Rem(AR1)
Left AIP,0.202055416697976,0.126460715052284,0.124247728771921,0.0784209811232311
Left caudal IPS,0.158285722715593,0.134002771114476,0.0871413636343659,0.0866549358790824
Left dACC,0.210013192232593,0.148385701795385,0.126725879082598,0.0892729842695235
Left FEF,0.161855659456672,0.0918732872675255,0.0892435237140995,0.0607820594630882
Left IFG oper,0.165194933528213,0.142312259750244,0.0889016238972648,0.0779556077120261
Left IFG orb tria insula,0.13715826316568,0.123619864610295,0.0847205252324413,0.0768033512663593
Left IFS MFG IFG tria,0.224105325453125,0.11046206571371,0.112379272345867,0.0656985520854464
Left IFS MFG,0.28638198419597,0.199015702897826,0.153963641928149,0.11901177357138
Left LIP,0.120441916124446,0.115696069233981,0.0606369132533148,0.0636086546011789
Left preCG1,0.117205627314381,0.0979935101821385,0.0614970498348666,0.0605519763967653
Left preCG2,0.184099097200021,0.133139847249111,0.111063606967936,0.0822513337926795
Left Precuneus,0.230467767695182,0.165233951046175,0.134730327876703,0.097757803142622
Left preSMA,0.209660651956472,0.132262430176523,0.0998138797061025,0.0832745204714361
Left PSPL,0.160878037961947,0.114272565752023,0.0955481821661179,0.0752160614674934
Left rostralMFG,0.191277013823669,0.119514743283734,0.113483931501222,0.0758382690103133
Left SMG,0.264904696171907,0.160277059383595,0.164106903527274,0.104748509516807
Left STG MTG,0.282535934454887,0.139349500058099,0.165329770662266,0.0924038978746146
Left VIP1,0.0898367985250638,0.106068025995643,0.0470169052077266,0.0589480091024276
Left VIP2,0.0956751531342386,0.0989519906480394,0.043720276580717,0.0557716326569969
Right AIP,0.130588907411249,0.123162752438237,0.0845617556439895,0.0812356542123463
Right caudal IPS,0.162648277733694,0.12743972103405,0.0837103982651638,0.0713547156309095
Right FEF,0.146560920400436,0.0967312165851896,0.0808099167892014,0.0637884899024705
Right IFG orb insula,0.157068173188948,0.1045886342566,0.0820464982464066,0.0623304234960112
Right IFG tria,0.191211414897026,0.148131549324513,0.107169709385495,0.0944794621421207
Right IFJ,0.197159993073328,0.11176709868479,0.106712291110078,0.0719377654137878
Right LIP,0.264810445619481,0.168057609013095,0.13716086108684,0.101211992354195
Right midMFG,0.305350937578622,0.138171763874179,0.167878097960273,0.0903431592329634
Right precuneus,0.230360943220325,0.147984277661782,0.128123071305321,0.0819827983828167
Right preSMA1,0.242949764772029,0.144710453677346,0.122246664207387,0.0938034743828083
Right preSMA2,0.137670911374779,0.109820732868344,0.0654140676400007,0.0716378004942513
Right PSPL,0.120359280243574,0.10208481240451,0.0773038415567904,0.0717538378583949
Right rostralMFG,0.220144695616147,0.113387711479282,0.125528913735391,0.0758308091856216
Right VIP1,0.148738249774944,0.146099142770427,0.0802564683793799,0.0800194589174247
Right VIP2,0.126850337651657,0.104818736806398,0.0651341115194387,0.0657255057659803
